customer_id,signup_date,snapshot_date,tenure_months,country,industry,company_size,subscription_plan,contract_type,monthly_revenue,auto_renew,monthly_logins,active_days_last_30,avg_session_minutes,feature_usage_score,days_since_last_login,usage_change_30d,support_tickets_last_90d,avg_resolution_hours,customer_satisfaction_score,failed_payments_last_6m,payment_method,churn_probability,churn,revenue_per_login,support_ticket_rate,engagement_ratio,is_inactive,is_declining_usage,is_low_satisfaction,is_payment_risk,is_non_renewing
CUST_000001,2025-12-22,2026-06-30,6,United States,Finance,Enterprise,Business,Annual,258.89,1,64,20,18.2,89.2,10,12.5,0,13.9,82.9,0,Credit Card,0.05,0,4.04515625,0.0,0.6666666666666666,0,0,0,0,0
CUST_000002,2022-08-11,2026-06-30,46,United Kingdom,Technology,Enterprise,Business,Annual,250.88,1,56,24,19.6,66.2,6,16.9,2,20.3,74.2,0,ACH,0.05,0,4.4799999999999995,0.6666666666666666,0.8,0,0,0,0,0
CUST_000003,2023-03-14,2026-06-30,39,Germany,Finance,Mid-Market,Pro,Monthly,105.46,1,37,14,11.6,56.4,16,-0.6,0,30.7,75.3,0,ACH,0.05,0,2.8502702702702702,0.0,0.4666666666666667,1,1,0,0,0
CUST_000004,2024-04-04,2026-06-30,26,United States,Manufacturing,Small,Pro,Monthly,96.48,1,30,13,12.6,46.1,17,-18.0,1,19.7,72.2,0,Credit Card,0.15000000000000002,0,3.216,0.3333333333333333,0.43333333333333335,1,1,0,0,0
CUST_000005,2024-04-14,2026-06-30,26,United States,Healthcare,Small,Basic,Monthly,48.95,0,17,3,20.7,19.8,27,-3.2,1,17.6,70.1,0,ACH,0.16999999999999998,0,2.8794117647058823,0.3333333333333333,0.1,1,1,0,0,0
CUST_000006,2022-03-12,2026-06-30,51,Canada,Technology,Small,Pro,Monthly,97.62,0,22,16,8.5,51.7,14,-23.7,1,24.4,76.3,0,Wire Transfer,0.15000000000000002,0,4.4372727272727275,0.3333333333333333,0.5333333333333333,1,1,0,0,0
CUST_000007,2025-12-28,2026-06-30,6,Australia,Finance,Small,Business,Annual,274.11,1,41,24,25.4,75.7,6,-29.9,0,4.6,83.1,0,Credit Card,0.15000000000000002,0,6.685609756097561,0.0,0.8,0,1,0,0,0
CUST_000008,2022-12-27,2026-06-30,42,United Kingdom,Professional Services,Enterprise,Pro,Monthly,95.87,1,25,16,17.9,47.7,14,1.0,0,22.5,74.0,0,Credit Card,0.05,0,3.8348,0.0,0.5333333333333333,1,0,0,0,0
CUST_000009,2025-06-04,2026-06-30,12,Germany,Healthcare,Mid-Market,Business,Annual,265.03,1,51,18,15.6,67.1,12,-15.2,0,17.8,76.5,1,Wire Transfer,0.23000000000000004,0,5.196666666666666,0.0,0.6,0,1,0,1,0
CUST_000010,2025-12-13,2026-06-30,6,Canada,Healthcare,Mid-Market,Basic,Monthly,45.66,1,24,10,13.2,25.3,20,8.9,3,22.6,64.5,0,ACH,0.1,0,1.9024999999999999,1.0,0.3333333333333333,1,0,0,0,0
CUST_000011,2023-10-29,2026-06-30,32,United States,Technology,Small,Basic,Annual,49.25,1,30,4,18.3,32.9,26,-12.3,1,30.8,66.6,1,Credit Card,0.25,1,1.6416666666666666,0.3333333333333333,0.13333333333333333,1,1,0,1,0
CUST_000012,2021-08-14,2026-06-30,58,United Kingdom,Finance,Small,Basic,Annual,48.56,1,23,4,9.9,33.5,26,-35.9,4,29.1,59.7,0,ACH,0.42,0,2.111304347826087,1.3333333333333333,0.13333333333333333,1,1,1,0,0
CUST_000013,2022-10-19,2026-06-30,44,United States,Manufacturing,Enterprise,Business,Monthly,236.29,0,28,17,25.7,86.6,13,13.9,0,8.8,95.7,1,Credit Card,0.13,0,8.438928571428571,0.0,0.5666666666666667,0,0,0,1,0
CUST_000014,2022-09-03,2026-06-30,45,Germany,Manufacturing,Small,Pro,Annual,95.71,1,47,11,15.4,62.1,19,12.7,1,19.4,70.0,0,Credit Card,0.05,0,2.0363829787234042,0.3333333333333333,0.36666666666666664,1,0,0,0,0
CUST_000015,2022-11-21,2026-06-30,43,United States,Healthcare,Small,Pro,Annual,101.49,1,32,15,17.6,54.6,15,10.2,1,23.6,70.4,0,Credit Card,0.05,0,3.1715625,0.3333333333333333,0.5,1,0,0,0,0
CUST_000016,2022-07-21,2026-06-30,47,United States,Professional Services,Mid-Market,Business,Annual,244.81,1,44,22,14.5,64.7,8,-8.2,0,22.4,70.7,1,Wire Transfer,0.13,0,5.563863636363636,0.0,0.7333333333333333,0,1,0,1,0
CUST_000017,2023-11-22,2026-06-30,31,Canada,Finance,Mid-Market,Business,Annual,236.98,0,79,18,22.0,65.4,12,23.3,1,14.8,85.8,1,Wire Transfer,0.13,0,2.999746835443038,0.3333333333333333,0.6,0,0,0,1,0
